Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
19,Гранат,8445,700,Фрукты,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2009-04-05,2013-05-01,1.45,Returned
20,Укроп,2803,273,Овощи,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2002-03-15,2022-02-08,4.9,Backorder
21,Кориандр молотый,5130,594,Бакалея,Отвечает всем современным стандартам качества и безопасности.,2021-04-08,2023-02-06,4.46,Out of Stock
22,Сок яблочный,525,143,Напитки,Может использоваться в детском питании начиная с раннего возраста.,2000-07-01,2027-09-05,0.27,Available for Pickup
23,Томаты в собственном соку,1185,859,Бакалея,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2001-01-21,2008-04-05,4.41,Pending
24,Северянка,898,60,Напитки,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1992-01-04,2017-04-08,1.4,Awaiting Payment
25,Конфи,9661,408,Мясо,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2009-01-14,2030-06-03,3.71,On Backorder
26,Виноград,4858,874,Фрукты,Часто рекомендуется врачами-диетологами как часть здорового питания.,2018-02-02,2025-04-18,1.32,Pending
27,Солонина,9189,863,Мясо,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",1999-01-17,2017-01-05,0.47,Shipping
28,Брынза,1979,65,Молочные продукты,Отличается низким содержанием насыщенных жиров и холестерина.,2007-04-03,2011-01-16,2.02,Returned
29,Портулак,8216,249,Овощи,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2013-05-04,2013-08-04,5.01,Out of Stock
30,Гусь,5796,5,Мясо,Помогает поддерживать нормальный уровень триглицеридов в крови.,1992-07-03,2001-03-01,3.12,Cancelled
31,Фейхоа,315,320,Фрукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",1995-05-03,2023-01-03,3.75,Available for Pickup
32,Моцарелла,9058,899,Молочные продукты,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2005-06-15,2018-01-28,0.44,Awaiting Payment
33,Эндивий,6981,133,Овощи,Отличается низким содержанием насыщенных жиров и холестерина.,2014-07-12,2029-05-01,0.22,Out of Stock
34,Чувашская,8000,745,Напитки,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2016-03-09,2029-01-03,4.29,Sold
35,Пищевая пленка,9394,263,Товары для дома,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1991-07-10,2006-08-17,3.06,Backorder
36,Ливерная колбаса,3936,94,Мясо,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2021-05-06,2027-10-02,3.9,Temporarily Unavailable
37,Персик,6135,430,Фрукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2022-02-03,2027-09-02,3.5,Cancelled
38,Укроп,7226,948,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2007-09-04,2008-03-22,2.86,Delivered
39,Пармезан,6741,657,Молочные продукты,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",1990-01-18,2028-06-03,0.17,Backorder
40,Каша из дробленной полентовой крупы,5932,382,Бакалея,Подходит для людей с чувствительным пищеварением.,1995-06-01,2005-09-02,1.71,Returned
41,Пакеты для школы,8368,781,Товары для дома,Широко используется в традиционной и современной кухне.,2004-01-02,2024-01-24,1.26,Sold
42,Чеддер,1326,402,Молочные продукты,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2007-09-03,2030-01-01,2.03,Delivered
43,Огурец,4684,610,Овощи,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1999-01-09,2018-05-07,0.22,Delivered
44,Помело,2883,376,Фрукты,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2006-03-12,2014-06-15,0.74,Out of Stock
45,Тыква,8127,147,Овощи,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1995-02-26,2028-11-27,2.12,Cancelled
46,Пакеты для конференции,426,884,Товары для дома,Способствует нормализации обмена веществ в организме.,1998-01-03,2030-02-06,2.52,Delivered
47,Айва,5927,681,Фрукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2005-01-06,2015-01-14,4.18,Delivered
48,Мацони,8723,881,Молочные продукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1992-02-21,2022-05-15,4.04,Delivered
49,Горох,1668,434,Овощи,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1990-03-01,2015-01-03,1.69,New
50,Бамия,6990,332,Овощи,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1999-01-05,2022-02-15,0.59,Temporarily Unavailable
51,Пакеты для Дня благодарения,8904,765,Товары для дома,"Отличается длительным сроком годности, что позволяет делать запасы.",1995-05-01,2026-01-02,4.67,Backorder
52,Карамбола,3081,67,Фрукты,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2013-01-22,2020-01-01,1.12,Available for Pickup
53,Буррито с мясом,141,723,Мясо,Способствует снижению уровня стресса и улучшению настроения.,1997-02-10,1998-02-08,0.55,Cancelled
54,Чоризо,1655,904,Мясо,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1999-10-17,2023-01-09,4.5,Returned
55,Инжир,6557,488,Фрукты,"Является источником незаменимых аминокислот, необходимых для построения мышц.",1994-01-05,2007-01-03,4.97,Cancelled
56,Масло сливочное,6742,517,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1993-01-28,2002-01-12,0.92,Awaiting Review
57,Ряженка,6974,446,Молочные продукты,Отличается простотой в использовании и хранении.,1999-08-12,2010-04-18,1.44,New
58,Сливки,1018,18,Молочные продукты,Подходит для использования в рационе людей с повышенным давлением.,2018-05-03,2024-07-10,2.43,Returned
59,Адлеркурортная,6980,756,Напитки,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2008-02-06,2012-06-09,3.91,Awaiting Review
60,Подставки под столовые приборы,9765,670,Товары для дома,Помогает поддерживать нормальный уровень триглицеридов в крови.,2016-03-08,2018-05-10,0.07,Available for Pickup
61,Кольраби,2040,998,Овощи,Может использоваться в вегетарианской диете как источник белка.,2016-03-02,2027-08-05,1.98,Delivered
62,Капуста белокочанная,8915,59,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1999-04-02,2007-01-10,1.89,Sold
63,Душистый перец горошком,2459,976,Бакалея,Может использоваться в детском питании начиная с раннего возраста.,1992-08-01,2010-04-06,3.62,Awaiting Payment
64,Кабанятина,3260,47,Мясо,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2003-02-03,2013-02-05,4.6,Delivered
65,Мандарин,5875,867,Фрукты,Помогает поддерживать нормальный уровень артериального давления.,2002-03-19,2029-03-11,4.48,Awaiting Payment
66,Тартар,7692,385,Мясо,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2000-02-04,2012-01-11,3.68,Delivered
67,Зубная паста,4058,814,Товары для дома,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1998-07-03,2025-06-10,1.92,New
68,Иркутская,7831,582,Напитки,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2002-02-03,2030-02-20,2.6,Shipping
69,Голландский сыр,4680,450,Молочные продукты,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2013-01-03,2025-05-11,1.68,Awaiting Review
70,Буузы,4949,364,Мясо,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2020-06-02,2021-01-18,1.36,Awaiting Payment
71,Чизбургеры,4282,615,Мясо,Отличается высокой питательностью и способен быстро утолить голод.,1994-01-09,2001-03-07,2.71,Available for Pickup
72,Зельц,7447,555,Мясо,Подходит для использования в рационе людей с повышенным давлением.,2010-04-01,2013-09-04,3.79,Returned
73,Каша из дробленной булгурной крупы,2402,658,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1994-02-22,2025-05-01,1.93,Refunded
74,Термосы,9123,364,Товары для дома,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",1998-01-19,2030-06-09,3.01,New
75,Смородина,6544,629,Фрукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1993-01-23,1998-12-21,4.73,New
76,Пакеты для кемпинга,8587,61,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2013-04-16,2016-09-21,4.58,Out of Stock
77,Кубай,7172,274,Напитки,"Является источником витаминов группы B, необходимых для энергетического обмена.",2013-07-02,2018-01-10,2.75,Cancelled
78,Курт,7092,329,Молочные продукты,Отличается низким содержанием насыщенных жиров и холестерина.,2004-09-04,2026-06-02,0.63,Returned
79,Бритвенный станок,3748,139,Товары для дома,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1992-10-05,2008-08-02,2.93,Shipping
80,Пастрома,7800,608,Мясо,"Отличается приятным ароматом, который усиливает аппетит.",2016-04-04,2028-01-02,4.02,Out of Stock
81,Томатная паста,2418,263,Бакалея,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2009-01-02,2021-03-01,4.11,Sold
82,Пакеты для Всемирного дня окружающей среды,5714,311,Товары для дома,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1994-09-12,2007-03-07,1.04,Returned
83,Пакеты для бассейна,8397,32,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1992-12-12,1999-06-13,2.64,New
84,Новый свет,9392,445,Напитки,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2007-05-15,2020-02-25,0.85,Backorder
85,Шампунь,2565,719,Товары для дома,"Подходит для приготовления как горячих, так и холодных блюд.",2007-04-02,2015-03-07,2.23,Returned
86,Саратовская,9589,995,Напитки,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2002-05-07,2008-05-02,2.46,Awaiting Review
87,Овсянка,3363,752,Бакалея,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1993-04-03,2012-02-03,1.78,Returned
88,Шадринская,7345,210,Напитки,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2021-01-01,2023-03-09,2.34,Available for Pickup
89,Шпинат,4470,346,Овощи,Подходит для использования в специализированных диетах и лечебных программах.,2005-05-01,2012-03-06,2.53,Out of Stock
90,Сушеные грибы,6751,886,Бакалея,Является важным элементом спортивного питания для восстановления после тренировок.,2021-05-01,2023-03-01,2.08,Awaiting Payment
91,Пакеты для пляжа,9345,832,Товары для дома,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1994-06-04,2023-03-02,4.44,Backorder
92,Нектарин,5943,491,Фрукты,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2009-02-03,2018-03-25,3.28,Cancelled
93,Каша из манной крупы,3375,699,Бакалея,Отличается низким содержанием насыщенных жиров и холестерина.,1996-10-02,2012-02-02,3.69,Out of Stock
94,Пакеты для путешествий,3859,440,Товары для дома,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2013-02-02,2030-01-08,1.88,Awaiting Payment
95,Окра,1108,386,Овощи,"Является источником важных микроэлементов, таких как магний и калий.",1994-04-01,1994-08-06,2.12,Available for Pickup
96,Освежитель воздуха,1868,393,Товары для дома,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2002-01-25,2007-02-08,0.34,Sold
97,Петрушка сушеная,730,245,Бакалея,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2008-03-03,2018-08-02,3.43,On Backorder
98,Смузи шпинатно-банановый,4062,262,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2009-03-03,2022-01-01,4.1,Pending
99,Сальтисон,7323,618,Мясо,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1997-01-18,1999-01-04,3.39,New
100,Каша из амаранта,9307,594,Бакалея,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1993-02-21,2008-01-01,1.36,In Stock
101,Варенец,5866,750,Молочные продукты,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2001-08-07,2018-03-04,4.74,Backorder
102,Камут,7211,277,Бакалея,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",1999-06-08,2025-09-01,4.43,On Backorder
103,Фенхель,6713,947,Овощи,Помогает укреплять стенки сосудов и улучшать кровообращение.,2012-05-14,2027-06-11,1.48,Out of Stock
104,Ласси,8610,516,Молочные продукты,Помогает поддерживать нормальный уровень энергии и выносливости.,2022-05-11,2024-02-04,0.21,In Stock
105,Морковь,4669,112,Овощи,Помогает поддерживать нормальный уровень гормонов в организме.,2008-05-12,2019-06-01,4.72,Cancelled
106,Пакеты для детских вещей,7198,859,Товары для дома,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2012-02-15,2025-03-10,3.86,Awaiting Review
107,Тыква,4817,759,Овощи,Подходит для людей с чувствительным пищеварением.,2016-02-27,2026-02-13,1.22,Awaiting Payment
108,Сок томатный,310,670,Напитки,Является важным компонентом рациона для поддержания гормонального баланса.,2007-05-13,2017-07-14,2.47,Shipping
109,Пармезан,727,731,Молочные продукты,Помогает поддерживать нормальный уровень pH в организме.,2010-09-01,2014-02-13,1.6,Refunded
110,Славяновская,1327,123,Напитки,Помогает укреплять стенки сосудов и улучшать кровообращение.,2013-06-07,2021-01-05,0.77,Available for Pickup
111,Черешня,9696,945,Фрукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1993-06-01,2029-07-26,1.1,Backorder
112,Куриные крылышки,796,467,Мясо,Помогает поддерживать нормальный уровень артериального давления.,1990-11-06,1992-05-01,2.02,Shipping
113,Мороженое,1221,163,Молочные продукты,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2019-03-04,2023-02-11,1.24,Refunded
114,Прошутто,7541,428,Мясо,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2009-04-02,2025-01-02,2.22,Awaiting Payment
115,Говядина,6776,478,Мясо,"Является источником важных микроэлементов, таких как магний и калий.",2000-02-10,2025-01-13,3.73,Awaiting Payment
116,Глинтвейн,8747,479,Напитки,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2018-05-24,2020-02-11,3.98,New
117,Шпик,8663,906,Мясо,Подходит для людей с чувствительным пищеварением.,1993-03-13,2007-09-10,3.43,Shipping
118,Авокадо,3072,251,Фрукты,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2015-01-05,2029-02-01,1.05,Awaiting Review
119,Ямс,5039,192,Овощи,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2012-03-01,2014-08-08,0.17,On Backorder
120,Катык,7824,871,Молочные продукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2014-01-23,2021-01-09,0.26,Awaiting Review
121,Картофель,9832,988,Овощи,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2012-05-19,2016-02-05,0.41,Temporarily Unavailable
122,Морковь,577,574,Овощи,Рекомендуется для ежедневного потребления в умеренных количествах.,2001-06-05,2008-01-01,2.29,New
123,Помело,5266,376,Фрукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2002-05-19,2015-07-06,3.35,Returned
124,Пармезан,1545,204,Молочные продукты,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2003-04-04,2026-01-13,0.95,On Backorder
125,Миксер,1452,803,Товары для дома,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2013-06-04,2015-07-12,4.82,Refunded
126,Темный шоколад,9792,82,Бакалея,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2020-03-08,2027-06-03,1.87,Delivered
127,Ложки чайные,8914,609,Товары для дома,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2009-01-05,2016-05-11,3.65,Delivered
128,Каша из полбы,8489,597,Бакалея,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2002-01-02,2016-02-14,3.21,Awaiting Payment
129,Амарант крупа,9180,486,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2002-05-13,2005-01-26,2.95,Temporarily Unavailable
130,Брюква,8625,4,Овощи,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",1997-02-04,2027-03-04,0.32,Sold
131,Просо,4344,847,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",1996-05-10,2019-01-03,3.55,Shipping
132,Парфюм,3068,229,Товары для дома,Отличается высокой питательностью и способен быстро утолить голод.,2022-12-09,2029-06-05,0.24,Shipping
133,Каша из дробленой перловки,9490,531,Бакалея,"Является источником важных микроэлементов, таких как магний и калий.",2013-01-16,2014-02-09,4.68,Shipping
134,Клюква,4714,486,Фрукты,"Является источником важных микроэлементов, таких как магний и калий.",2014-01-08,2019-01-14,0.73,Cancelled
135,Ананас,1930,260,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2013-01-09,2014-07-01,3.86,Backorder
136,Цветная капуста,8450,320,Овощи,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2022-01-05,2025-02-27,2.7,Refunded
137,"Экзотические виды мяса (например, страус, кенгуру)",8553,215,Мясо,Отличается удобством использования и экономичностью в расходе.,2018-05-03,2019-03-02,2.6,Returned
138,Котлеты,4372,131,Мясо,Поддерживает иммунитет и общее состояние здоровья.,1991-06-16,1996-01-02,1.33,Available for Pickup
139,Ливерная колбаса,1393,848,Мясо,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1999-03-11,2026-01-03,4.88,Returned
140,Полотенца кухонные,5340,540,Товары для дома,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2008-08-02,2021-01-14,1.96,Delivered
141,Творог,891,779,Бакалея,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1998-01-19,2027-05-15,3.04,Pending
142,Чечевица,6847,376,Овощи,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2012-02-10,2018-01-11,1.89,Shipping
143,Грейпфрут,3917,985,Фрукты,Придает блюдам особую нежность и насыщенность.,2015-04-15,2020-01-12,2.01,On Backorder
144,Сок апельсиновый,5749,404,Напитки,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2003-01-03,2018-04-11,4.05,Returned
145,Айран,3091,659,Молочные продукты,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2000-02-02,2027-04-16,1.59,Pending
146,Топлёное молоко,4715,257,Молочные продукты,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1993-01-19,2012-07-02,4.92,Available for Pickup
147,Пакеты для походов,8669,342,Товары для дома,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2017-03-14,2019-01-15,2.01,In Stock
148,Слива,3266,274,Фрукты,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2016-02-01,2023-03-24,0.8,Backorder
149,Сулинка,3244,662,Напитки,"Является источником витаминов группы B, необходимых для энергетического обмена.",2022-02-28,2027-01-03,4.72,Shipping
150,Зельц,3046,675,Мясо,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",1999-05-03,2023-02-02,4.16,Backorder
151,Сырокопченая колбаса,118,860,Мясо,Отвечает всем современным стандартам качества и безопасности.,2000-03-14,2018-03-02,0.66,Available for Pickup
152,Пакеты для благотворительного мероприятия,3230,112,Товары для дома,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2005-02-27,2024-02-04,0.38,Awaiting Payment
153,Шадринская,2375,193,Напитки,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1991-05-04,2011-02-02,4.43,On Backorder
154,Айран,4579,429,Молочные продукты,Широко используется в традиционной и современной кухне.,2016-06-05,2028-01-10,3.87,Sold
155,"Сухофрукты (изюм, курага, чернослив)",3171,629,Бакалея,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2005-01-27,2011-01-05,2.39,In Stock
156,Портулак,3997,630,Овощи,Помогает поддерживать оптимальный вес и форму тела.,2012-03-08,2017-02-22,3.58,Cancelled
157,Утка,9395,719,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2018-09-16,2020-01-15,2.2,Returned
158,Крыжовник,8198,370,Фрукты,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2011-07-08,2011-11-05,0.4,Delivered
159,Камамбер,1816,893,Молочные продукты,Отвечает всем современным стандартам качества и безопасности.,2015-03-04,2017-04-11,0.08,Returned
160,Инжир,761,303,Фрукты,Прошел строгий контроль качества на всех этапах производства.,2002-04-18,2011-02-14,4.35,On Backorder
161,Смузи бананово-клубничный,1853,98,Напитки,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2020-03-09,2023-02-27,3.14,Temporarily Unavailable
162,Дыня,3632,736,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2005-01-01,2020-05-11,0.59,Delivered
163,Пакеты для походов,1483,458,Товары для дома,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2015-03-13,2015-04-02,1.97,Temporarily Unavailable
164,Кефир,9000,52,Молочные продукты,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2010-01-03,2010-04-10,4.74,Pending
165,Томатная паста,5991,464,Бакалея,Помогает поддерживать нормальный уровень глюкозы в крови.,1994-06-08,2006-01-22,0.98,Delivered
166,Лавровый лист сушеный,7757,802,Бакалея,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1996-02-12,2003-02-10,4.53,Delivered
167,Павловская,6134,625,Напитки,Подходит для использования в диетических программах для похудения.,1999-04-01,2019-02-18,1.66,Cancelled
168,Шницель,4029,91,Мясо,Отличается удобством использования и экономичностью в расходе.,2003-11-17,2028-02-01,0.1,Available for Pickup
169,Курт,996,669,Молочные продукты,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2005-06-13,2013-08-05,2.76,Backorder
170,Боржоми,5314,224,Напитки,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2010-03-08,2029-01-01,4.54,Awaiting Payment
171,Сливки,474,188,Молочные продукты,"Является источником важных микроэлементов, таких как магний и калий.",2010-01-01,2024-03-21,4.99,In Stock
172,Голландский сыр,9301,589,Молочные продукты,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2021-08-03,2025-01-20,4.48,Refunded
